,text,_input_hash,_task_hash,options,_session_id,_view_id,accept,answer,meta,len,RnD,BM,Practice,Ops,MnA,Product,Enabler,CX
10,"These innovative products will feature simplified benefitstructures and an improved consumer experience. Central to these new products will be access to helpfuldigital tools with clear information about health care resources, coverage and costs. We intend to use ourexperience with these new products as preparation for a broader rollout in the future as we continue ourjourney to help reshape the Health Care system.",778859167,1026213025,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,['Product'],accept,,1,0,0,0,0,0,1,0,0
11,"So based on the current level, we are seeing about JPY 100 billion gap between thefirst and second half of the year. And for Jet, as we say always, the aircraft business itself is different fromthe motorcycle, automobile business where we need to recuperate the investment over long term. Thedelivery to the market of the aircraft, once this makes a strong progress and once we supply a lot, thenwe'll try to achieve breakeven inclusive of after-service and parts sales and things like that.",-1992268378,817953586,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,['BM'],reject,,1,0,1,0,0,0,0,0,0
12,"In addition, we added 11,000 tablets and556,000 other connected devices, predominantly wearables. VERIZON COMMUNICATIONS INC.",-855391460,-455490578,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,['Product'],accept,,1,0,0,0,0,0,1,0,0
13,"And so over the Christmas period, deflation in Thailand was running at 3%. And so that's the new featurethat we've seen in Thailand. It's not really about buying behavior post the king's cremation.",1829495653,-1290642124,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,[],reject,,0,0,0,0,0,0,0,0,0
14,"a question on the Card business. There has been chatter about sort of pulling back on rewards tokind of focus more on profitability. I guess, how do you think about the strategy in cards right now?",13054747,-107922738,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,[],reject,,0,0,0,0,0,0,0,0,0
15,"The other question for you. Lars Christian BacherExecutive VP & CFOOn digitalization and the impact of it. We have a sort of a big program internally of aggregating all theimprovement initiatives, impressed by still all the ideas that are coming up in the organization.",1598570613,-932255314,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,[],reject,,0,0,0,0,0,0,0,0,0
16,"And by the endof 2016, fiscal 2016, we are targeting 200 cases. Competition with our customers, not just service thatwe provide to our customers, we are using IoT technology by ourselves to improve our business. We areHITACHI, LTD.",1215516595,-383543467,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,['Ops'],accept,,1,0,0,0,1,0,0,0,0
17,"For Satya,can you talk to us a little bit about sort of how these hybrid engagements are kind of rolling out with thelargest customers, how they're contracting from it? And any sense you can give us in terms of in what waydo they engage both kind of the on-premise assets as well as the cloud assets? Because I think that's partof the equation that's really positively surprising a lot of investors in how well server and tools is doing.",124120092,-1016284004,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,[],reject,,0,0,0,0,0,0,0,0,0
18,"So overall, I think the strategy is trackingwell, although, of course, I'm not pleased about Q1 in itself. In terms of BSS, in many of these BSStransformation cases, OSS transformation cases, a lot of our portfolio is in use and then we partner withother players on a select basis and that seems to work well in dealmaking.",472453937,-399910538,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,[],reject,,0,0,0,0,0,0,0,0,0
19,"As momentum builds in the cloud, we'll be -- we're prepared to be able to take advantage of that. Where the channel is today is very much in an awareness and education mode, trying to get the resellersto understand the cloud environment, get the resellers to understand the transitions their business modelsneed to take and to get them to begin to transact there. And so that's why we talked in our preparedcomments about these group sessions that we run where we accomplish that with many resellers.",390871604,-511179532,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,['Product'],accept,,1,0,0,0,0,0,1,0,0
20,"Maybe more important, we have achieved a profitability on group level on net income, the first net incomepositive since beginning of -- or mid-2016, and we do that despite some substantial provisions during thequarter that we will outline during the presentation. Digital Services continued to improve and on the journey towards profitability, negatively impacted bysubstantial provisions here, the -- on the large Digital transformation project, but it's aided or helped bysignificant costs out in common costs as well as R&D.We will spend some time updating you on the SEC DOJ investigation as well, where we are engaged withthe authorities to try to find the resolution, and we are well underway towards achieving our target of a10% operating margin 2020 and 12% beyond that. So with that, let's move into some of the overall numbers, where you can see that we continued toimprove our gross margin, and that is done despite provisions.",709609231,2115484812,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,['CX'],accept,,1,0,0,0,0,0,0,0,1
21,"the U.S. and a stronger U.S. dollar causes those costs to translate into fewer dollars, and thatmore than offset the negative impact on sales. Now there are other currency impacts in our P&L as wellbelow operating profit.CATERPILLAR INC. FQ2 2015 EARNINGS CALL |  JUL 23, 2015  a division of",-813927139,-343035902,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,[],reject,,0,0,0,0,0,0,0,0,0
22,we were -- we'vealways been the ones who were able to have low CapEx on mobile. We haven't changed people.,364601719,-942622978,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,['Ops'],accept,,1,0,0,0,1,0,0,0,0
23,"Also, as I mentioned earlier, how do we support data transformation, especially for companies in andoutside of Japan? The speed of the data transformation of each given company will be much faster. So it'simportant that we keep pace with the changes in relation to our user companies by offering full life cycleand full-stack model.",513241361,-1575973586,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,['Product'],accept,,1,0,0,0,0,0,1,0,0
24,"Regarding the operating income from the -- second fromthe top. Last year was 6.9% and this improved by 0.8 percentage point to 7.7%.And in terms of Information & Telecommunication Systems, Social Infrastructure, and ConstructionMachinery and High Functional Materials increased. And in terms of operating profit, the Information& Telecommunications Systems, Social Infrastructure & Industrial Systems as well as the ConstructionMachinery contributed.",1859608188,1291326801,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,[],reject,,0,0,0,0,0,0,0,0,0
25,"and why does Ping An propose finance plus ecosystems strategy?Well, we use ecosystems to build up the traffic and this is the groundwork for the transformation of ourfinance business. So as we are trying to drive up the traffic to build up a new channel for our businessgrowth.",1631955221,-750201387,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,['Enabler'],accept,,1,0,0,0,0,0,0,1,0
26,"And that's a huge delayering job. And we're seeingsome benefits already, as I mentioned earlier, when it comes to faster communication. But also, as wepointed out at the time, in addition to the sheer speed, and flexibility and closeness to the markets, thereis a cost benefit associated with it.",444489569,-2073495416,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,['Practice'],accept,,1,0,0,1,0,0,0,0,0
27,"so -- yes, we are seeing a increase in the diversity, I think, across the hyperscalers with the kinds ofsolutions they want, including GPU-based designs, non-x86 designs where we've partnered with AmpereComputing. FPGA, GPU, as you mentioned, as well as more enterprise workloads like SAP HANA movingto the cloud. We're also starting to see demand for 4-socket and 8-socket machines as well where someof the more mission-critical workloads are moving from on-prem to the public cloud.",1309997682,2065724506,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,['Product'],accept,,1,0,0,0,0,0,1,0,0
28,"Our main interest here is the people and thecommunity who are using News Feed, not those guys, right? So of course, we want to build tools to enablethem to share their content and all that, but we're constantly refining the algorithms in order to make itso the experience is the best for you when you open up your phone and look at Facebook and there area bunch of things that are going on, we want to make sure that we're getting what you care about themost. And we go to a lot of lengths to make sure that we're getting signals from people in our communityto",975402862,-1607718536,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,['CX'],accept,,1,0,0,0,0,0,0,0,1
29,"Given the positive initial performance of iQOS, we are confirming our plans to commence nationalexpansion in Japan and Italy as well as pilot or national launches in additional markets later this year. These launches will be supported by a new release of iQOS that incorporates feedback from the pilotmarket and features a variety of colors and textures to broaden the product's appeal amongst adultsmokers. Our 2015 guidance includes incremental spending versus 2014 for the deployment of iQOS, which isskewed towards the second half of the year.",1291055406,638013767,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,['Product'],accept,,1,0,0,0,0,0,1,0,0
